Director,Production,User,Genre,Rank
Coen,Universal,F,Horror,1
Del Toro,Universal,M,Action,3
Buñuel,Warner,F,Drama,2
Buñuel,Disney,M,Drama,2
Coen,Warner,F,Action,2
Del Toro,Disney,M,Horror,3
Del Toro,Universal,F,Horror,3
Coen,Disney,M,Drama,1
Buñuel,Warner,F,Action,2
Del Toro,Warner,M,Action,1
Buñuel,Disney,F,Drama,2
Coen,Universal,F,Horror,3
Coen,Warner,F,Horror,3
Del Toro,Disney,M,Action,2
Buñuel,Universal,M,Drama,1
Buñuel,Warner,M,Action,1
Del Toro,Warner,F,Action,2
Buñuel,Disney,M,Drama,3
Coen,Universal,M,Horror,1
Coen,Warner,F,Horror,1
Del Toro,Disney,F,Action,2
Buñuel,Universal,M,Drama,3
